uuid;timefrom;timeto;latitude;longitude;accuracy;speed;speedaccuracy;altitude;altitudeaccuracy;daypart;lastupdated
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:51;07.04.2020 16:51;59.917468;10.661377;8.001;0.832;0;4.9;8.7;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:51;07.04.2020 16:51;59.917404;10.661174;8.001;0.589;0;3.4;8.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:51;07.04.2020 16:51;59.917294;10.660781;6.001;0.706;0;4.2;7.9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:51;07.04.2020 16:51;59.917224;10.660589;6.001;1.036;0;6.5;7.7;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:51;07.04.2020 16:51;59.917182;10.660368;6.001;1.066;0;6.4;7.6;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:51;07.04.2020 16:52;59.917126;10.660144;6.001;1.094;0;6.4;7.7;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:52;07.04.2020 16:52;59.917049;10.659742;6.001;0.847;0;4.7;7.9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:52;07.04.2020 16:52;59.917002;10.659552;6.001;0.799;0;4.1;8.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:52;07.04.2020 16:52;59.916951;10.659354;6.001;0.804;0;3.6;8.6;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:52;07.04.2020 16:52;59.916884;10.659175;6.001;0.271;0;2.7;8.6;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:52;07.04.2020 16:52;59.916824;10.658990;6.001;0.696;0;0.7;8.8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:52;07.04.2020 16:53;59.916810;10.658732;8.001;0.531;0;0.1;8.8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:53;07.04.2020 16:53;59.916741;10.658468;8.001;0.802;0;-3.2;9.5;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:53;07.04.2020 16:54;59.916595;10.657626;16.002;0.504;0;-3.5;9.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:54;07.04.2020 16:54;59.916401;10.657112;16.002;1.357;0;2.7;7.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:54;07.04.2020 16:54;59.916247;10.657484;18.356;1.061;0;2.8;7.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:54;07.04.2020 16:55;59.916261;10.658608;19.957;0.616;0;0;8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:55;07.04.2020 16:56;59.916172;10.657857;24.004;-0.791;0;-2;6.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 16:56;07.04.2020 17:01;59.916077;10.658283;32.005;-0.499;0;4.9;17.5;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:02;07.04.2020 17:19;59.915929;10.658060;46.234;0;0;8.1;163.3;98;08.04.2020 10:37
